Area,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
Afghanistan,1000 persons,9169.41,9351.440999999999,9543.205,9744.780999999999,9956.32,10174.836,10399.926,10637.063,10893.776000000002,11173.642,11475.445,11791.215,12108.963,12412.95,12689.16,12943.093,13171.306,13341.198,13411.056,13356.511,13171.673,12882.528,12537.73,12204.292,11938.208,11736.178999999998,11604.534,11618.005,11868.877,12412.308,13299.017,14485.546,15816.603000000001,17075.727,18110.657,18853.436999999998,19357.126,19737.765,20170.843999999997,20779.953,21606.987999999998,22600.77,23680.871,24726.683999999997,25654.277000000002,26433.049,27100.536,27722.276,28394.813,29185.507,30117.412999999997,31161.376,32269.589
Albania,1000 persons,1685.9360000000001,1737.6860000000001,1790.5729999999999,1843.634,1896.171,1947.83,1998.74,2049.21,2099.729,2150.7070000000003,2202.189,2254.056,2306.29,2358.846,2411.732,2464.9829999999997,2518.685,2572.85,2627.505,2682.69,2737.026,2790.275,2844.8709999999996,2904.14,2969.672,3044.212,3124.8940000000002,3200.9770000000003,3257.925,3286.073,3280.395,3245.886,3195.199,3146.5190000000002,3112.9359999999997,3098.7,3099.752,3110.6820000000002,3122.697,3129.243,3129.704,3126.187,3118.0229999999997,3104.8920000000003,3086.81,3063.0209999999997,3033.998,3002.678,2973.048,2948.0229999999997,2928.592,2914.0959999999995,2903.79
Algeria,1000 persons,11336.339,11619.828000000001,11912.803,12221.675,12550.885,12902.627,13275.026000000002,13663.583,14061.722,14464.985,14872.25,15285.99,15709.825,16149.025,16607.707,17085.801,17582.904,18102.266,18647.815,19221.665,19824.301,20452.902,21101.875,21763.575,22431.502,23102.389,23774.284,24443.467,25106.19,25758.869,26400.479,27028.326,27635.515,28213.773999999998,28757.785,29266.405,29742.979,30192.754,30623.406000000003,31042.235,31451.514,31855.109,32264.157000000003,32692.162999999997,33149.724,33641.002,34166.972,34730.608,35333.881,35977.455,36661.445,37383.895,38140.133
American Samoa,1000 persons,20.601999999999997,21.253,22.034000000000002,22.854,23.671999999999997,24.462,25.248,25.989,26.703000000000003,27.363000000000003,27.984,28.566999999999997,29.1,29.596,30.052,30.456,30.838,31.269000000000002,31.845,32.646,33.701,34.968,36.412,37.946,39.519,41.119,42.74,44.343,45.894,47.347,48.685,49.896,51.02,52.095,53.161,54.211000000000006,55.221000000000004,56.17100000000001,57.053000000000004,57.821000000000005,58.494,59.08,59.504,59.681000000000004,59.562,59.107,58.365,57.492,56.683,56.07899999999999,55.75899999999999,55.667,55.713
Andorra,1000 persons,14.375,15.37,16.412,17.469,18.549,19.647000000000002,20.758000000000003,21.89,23.058000000000003,24.276,25.559,26.892,28.232,29.52,30.705,31.776999999999997,32.771,33.736999999999995,34.818000000000005,36.067,37.5,39.114000000000004,40.867,42.706,44.6,46.516999999999996,48.455,50.434,52.448,54.50899999999999,56.67100000000001,58.888000000000005,60.971000000000004,62.677,63.85,64.36,64.327,64.142,64.37,65.39,67.34100000000001,70.04899999999999,73.182,76.244,78.867,80.993,82.684,83.86200000000001,84.463,84.449,83.74700000000001,82.427,80.774
Angola,1000 persons,5531.472,5608.539000000001,5679.4580000000005,5735.044,5770.57,5781.214,5774.243,5771.651999999999,5803.254,5890.365,6040.776999999999,6248.552,6496.9619999999995,6761.38,7024.0,7279.509,7533.735,7790.706999999999,8058.066999999999,8341.289,8640.446,8952.95,9278.096,9614.754,9961.997,10320.110999999999,10689.25,11068.05,11454.777,11848.386,12248.901000000002,12657.366000000002,13075.048999999999,13503.747,13945.206,14400.719,14871.57,15359.601,15866.868999999999,16395.473,16945.753,17519.417,18121.479,18758.145,19433.602,20149.901,20905.363,21695.634,22514.281000000003,23356.246,24220.661,25107.931,26015.781000000003
Anguilla,1000 persons,6.0889999999999995,6.144,6.211,6.287000000000001,6.361000000000001,6.438,6.52,6.602,6.68,6.771,6.858,6.9479999999999995,7.028,7.102,7.159,7.206,7.255,7.284,7.292000000000001,7.285,7.247000000000001,7.19,7.153,7.172999999999999,7.292999999999999,7.518,7.8420000000000005,8.213,8.582,8.899,9.135,9.332,9.493,9.664,9.866,10.117,10.388,10.684000000000001,10.970999999999998,11.252,11.515,11.761,12.001,12.232999999999999,12.453,12.661,12.868,13.062999999999999,13.258,13.437999999999999,13.62,13.795,13.954
Antigua and Barbuda,1000 persons,55.001000000000005,55.841,56.702,57.641000000000005,58.698,59.915,61.24100000000001,62.521,63.55,64.17699999999999,64.357,64.133,63.65,63.12,62.675,62.367,62.159,62.036,61.952,61.865,61.8,61.778999999999996,61.787,61.786,61.786,61.754,61.717,61.771,62.008,62.528,63.367,64.471,65.777,67.204,68.67,70.173,71.704,73.22399999999999,74.67399999999999,76.016,77.212,78.295,79.3,80.336,81.465,82.704,84.02600000000001,85.397,86.74600000000001,88.02799999999999,89.25299999999999,90.40899999999999,91.516
Argentina,1000 persons,20817.266,21153.052000000003,21488.912,21824.425,22159.65,22494.035,22828.869,23168.267000000003,23517.611,23880.561,24259.561,24653.175,25056.478,25462.302000000003,25865.776,26264.681,26661.397999999997,27061.047000000002,27471.036,27896.528,28338.515,28794.548,29262.047000000002,29737.092999999997,30216.279,30698.964,31184.415,31668.949,32148.134,32618.651,33079.0,33529.326,33970.111000000004,34402.672,34828.17,35246.373999999996,35657.429,36063.459,36467.218,36870.787000000004,37275.652,37681.748999999996,38087.867999999995,38491.972,38892.931000000004,39289.878,39684.295,40080.16,40482.788,40895.752,41320.5,41755.196,42196.03
Armenia,1000 persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3442.817,3363.1079999999997,3283.667,3217.348,3168.2209999999995,3133.0890000000004,3108.687,3089.022,3069.591,3050.687,3033.978,3017.9320000000002,3000.72,2981.2690000000002,2958.3070000000002,2932.618,2907.618,2888.092,2877.3190000000004,2876.538,2884.2340000000004,2897.5879999999997
